data_download_start_utc=2026-05-14T04:57:57Z
data_download_done_utc=2026-05-14T04:57:57Z
train_start_utc=2026-05-14T04:57:57Z
W0514 04:57:58.794000 3214 torch/distributed/run.py:852] 
W0514 04:57:58.794000 3214 torch/distributed/run.py:852] *****************************************
W0514 04:57:58.794000 3214 torch/distributed/run.py:852] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0514 04:57:58.794000 3214 torch/distributed/run.py:852] *****************************************
[Gloo] Rank 0 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 1 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 2 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 3 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 4 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 5 is connected to 7 peer ranks. Expected number of connected peer ranks is : 7
[Gloo] Rank 7[Gloo] Rank  is connected to 76 peer ranks.  is connected to Expected number of connected peer ranks is : 77 peer ranks. 
Expected number of connected peer ranks is : 7
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 72944.42it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 76959.71it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 52924.97it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 9341.43it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 6641.81it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 9805.50it/s]
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 73908.44it/s]
logs/4b45738b-1c0f-404b-a2a0-c4c74067ba57.txt
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 5385.94it/s]
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 478, 479, 480, 481, 958, 959, 960, 961, 1438, 1439, 1440, 1441] for warmup
Resetting Model
step:0/1480 val_loss:10.8314 train_time:0ms step_avg:0.03ms
step:1/1480 train_time:51ms step_avg:51.20ms
step:69/1480 train_time:2010ms step_avg:29.13ms
step:70/1480 train_time:2043ms step_avg:29.19ms
step:71/1480 train_time:2070ms step_avg:29.15ms
step:72/1480 train_time:2103ms step_avg:29.21ms
step:73/1480 train_time:2130ms step_avg:29.18ms
step:74/1480 train_time:2164ms step_avg:29.24ms
step:75/1480 train_time:2190ms step_avg:29.20ms
step:76/1480 train_time:2223ms step_avg:29.25ms
step:77/1480 train_time:2249ms step_avg:29.20ms
step:78/1480 train_time:2281ms step_avg:29.25ms
step:79/1480 train_time:2307ms step_avg:29.20ms
step:80/1480 train_time:2339ms step_avg:29.24ms
step:81/1480 train_time:2365ms step_avg:29.19ms
step:82/1480 train_time:2397ms step_avg:29.23ms
step:83/1480 train_time:2423ms step_avg:29.19ms
step:84/1480 train_time:2455ms step_avg:29.23ms
step:85/1480 train_time:2480ms step_avg:29.18ms
step:86/1480 train_time:2513ms step_avg:29.22ms
step:87/1480 train_time:2538ms step_avg:29.17ms
step:88/1480 train_time:2571ms step_avg:29.21ms
step:89/1480 train_time:2596ms step_avg:29.17ms
step:90/1480 train_time:2629ms step_avg:29.21ms
step:91/1480 train_time:2654ms step_avg:29.16ms
step:92/1480 train_time:2686ms step_avg:29.20ms
step:93/1480 train_time:2712ms step_avg:29.16ms
step:94/1480 train_time:2744ms step_avg:29.19ms
step:95/1480 train_time:2769ms step_avg:29.15ms
step:96/1480 train_time:2802ms step_avg:29.19ms
step:97/1480 train_time:2827ms step_avg:29.15ms
step:98/1480 train_time:2860ms step_avg:29.18ms
step:99/1480 train_time:2886ms step_avg:29.15ms
step:100/1480 train_time:2919ms step_avg:29.19ms
step:101/1480 train_time:2945ms step_avg:29.16ms
step:102/1480 train_time:2978ms step_avg:29.20ms
step:103/1480 train_time:3005ms step_avg:29.17ms
step:104/1480 train_time:3038ms step_avg:29.21ms
step:105/1480 train_time:3064ms step_avg:29.18ms
step:106/1480 train_time:3097ms step_avg:29.22ms
step:107/1480 train_time:3124ms step_avg:29.19ms
step:108/1480 train_time:3157ms step_avg:29.23ms
step:109/1480 train_time:3182ms step_avg:29.20ms
step:110/1480 train_time:3215ms step_avg:29.23ms
step:111/1480 train_time:3241ms step_avg:29.19ms
step:112/1480 train_time:3274ms step_avg:29.23ms
step:113/1480 train_time:3299ms step_avg:29.20ms
step:114/1480 train_time:3332ms step_avg:29.23ms
step:115/1480 train_time:3358ms step_avg:29.20ms
step:116/1480 train_time:3391ms step_avg:29.23ms
step:117/1480 train_time:3416ms step_avg:29.20ms
step:118/1480 train_time:3449ms step_avg:29.23ms
step:119/1480 train_time:3474ms step_avg:29.19ms
step:120/1480 train_time:3507ms step_avg:29.23ms
step:121/1480 train_time:3533ms step_avg:29.20ms
step:122/1480 train_time:3566ms step_avg:29.23ms
step:123/1480 train_time:3591ms step_avg:29.20ms
step:124/1480 train_time:3624ms step_avg:29.22ms
step:125/1480 train_time:3649ms step_avg:29.19ms
step:126/1480 train_time:3681ms step_avg:29.22ms
step:127/1480 train_time:3706ms step_avg:29.18ms
step:128/1480 train_time:3739ms step_avg:29.21ms
step:129/1480 train_time:3765ms step_avg:29.18ms
step:130/1480 train_time:3798ms step_avg:29.22ms
step:131/1480 train_time:3823ms step_avg:29.18ms
step:132/1480 train_time:3856ms step_avg:29.21ms
step:133/1480 train_time:3881ms step_avg:29.18ms
step:134/1480 train_time:3914ms step_avg:29.21ms
step:135/1480 train_time:3940ms step_avg:29.18ms
step:136/1480 train_time:3973ms step_avg:29.21ms
step:137/1480 train_time:3999ms step_avg:29.19ms
step:138/1480 train_time:4033ms step_avg:29.22ms
step:139/1480 train_time:4059ms step_avg:29.20ms
step:140/1480 train_time:4093ms step_avg:29.23ms
step:141/1480 train_time:4118ms step_avg:29.21ms
step:142/1480 train_time:4151ms step_avg:29.23ms
step:143/1480 train_time:4176ms step_avg:29.20ms
step:144/1480 train_time:4210ms step_avg:29.23ms
step:145/1480 train_time:4235ms step_avg:29.21ms
step:146/1480 train_time:4268ms step_avg:29.24ms
step:147/1480 train_time:4294ms step_avg:29.21ms
step:148/1480 train_time:4328ms step_avg:29.24ms
step:149/1480 train_time:4353ms step_avg:29.21ms
step:150/1480 train_time:4386ms step_avg:29.24ms
step:151/1480 train_time:4411ms step_avg:29.21ms
step:152/1480 train_time:4444ms step_avg:29.23ms
step:153/1480 train_time:4470ms step_avg:29.21ms
step:154/1480 train_time:4503ms step_avg:29.24ms
step:155/1480 train_time:4527ms step_avg:29.21ms
step:156/1480 train_time:4560ms step_avg:29.23ms
step:157/1480 train_time:4585ms step_avg:29.21ms
step:158/1480 train_time:4618ms step_avg:29.23ms
step:159/1480 train_time:4643ms step_avg:29.20ms
step:160/1480 train_time:4676ms step_avg:29.22ms
step:161/1480 train_time:4701ms step_avg:29.20ms
step:162/1480 train_time:4735ms step_avg:29.23ms
step:163/1480 train_time:4760ms step_avg:29.20ms
step:164/1480 train_time:4793ms step_avg:29.23ms
step:165/1480 train_time:4818ms step_avg:29.20ms
step:166/1480 train_time:4851ms step_avg:29.22ms
step:167/1480 train_time:4876ms step_avg:29.20ms
step:168/1480 train_time:4910ms step_avg:29.22ms
step:169/1480 train_time:4935ms step_avg:29.20ms
step:170/1480 train_time:4968ms step_avg:29.22ms
step:171/1480 train_time:4994ms step_avg:29.20ms
step:172/1480 train_time:5027ms step_avg:29.23ms
step:173/1480 train_time:5053ms step_avg:29.21ms
step:174/1480 train_time:5086ms step_avg:29.23ms
step:175/1480 train_time:5112ms step_avg:29.21ms
step:176/1480 train_time:5145ms step_avg:29.23ms
step:177/1480 train_time:5170ms step_avg:29.21ms
step:178/1480 train_time:5204ms step_avg:29.23ms
step:179/1480 train_time:5229ms step_avg:29.21ms
step:180/1480 train_time:5262ms step_avg:29.23ms
step:181/1480 train_time:5288ms step_avg:29.21ms
step:182/1480 train_time:5320ms step_avg:29.23ms
step:183/1480 train_time:5345ms step_avg:29.21ms
step:184/1480 train_time:5378ms step_avg:29.23ms
step:185/1480 train_time:5404ms step_avg:29.21ms
step:186/1480 train_time:5437ms step_avg:29.23ms
step:187/1480 train_time:5462ms step_avg:29.21ms
step:188/1480 train_time:5495ms step_avg:29.23ms
step:189/1480 train_time:5520ms step_avg:29.21ms
step:190/1480 train_time:5553ms step_avg:29.22ms
step:191/1480 train_time:5578ms step_avg:29.20ms
step:192/1480 train_time:5611ms step_avg:29.22ms
step:193/1480 train_time:5636ms step_avg:29.20ms
step:194/1480 train_time:5669ms step_avg:29.22ms
step:195/1480 train_time:5694ms step_avg:29.20ms
step:196/1480 train_time:5728ms step_avg:29.22ms
step:197/1480 train_time:5753ms step_avg:29.20ms
step:198/1480 train_time:5786ms step_avg:29.22ms
step:199/1480 train_time:5811ms step_avg:29.20ms
step:200/1480 train_time:5844ms step_avg:29.22ms
step:201/1480 train_time:5870ms step_avg:29.20ms
step:202/1480 train_time:5902ms step_avg:29.22ms
step:203/1480 train_time:5928ms step_avg:29.20ms
step:204/1480 train_time:5961ms step_avg:29.22ms
step:205/1480 train_time:5988ms step_avg:29.21ms
step:206/1480 train_time:6020ms step_avg:29.22ms
step:207/1480 train_time:6046ms step_avg:29.21ms
step:208/1480 train_time:6079ms step_avg:29.23ms
step:209/1480 train_time:6105ms step_avg:29.21ms
step:210/1480 train_time:6138ms step_avg:29.23ms
step:211/1480 train_time:6164ms step_avg:29.21ms
step:212/1480 train_time:6197ms step_avg:29.23ms
step:213/1480 train_time:6222ms step_avg:29.21ms
step:214/1480 train_time:6255ms step_avg:29.23ms
step:215/1480 train_time:6280ms step_avg:29.21ms
step:216/1480 train_time:6314ms step_avg:29.23ms
step:217/1480 train_time:6339ms step_avg:29.21ms
step:218/1480 train_time:6372ms step_avg:29.23ms
step:219/1480 train_time:6397ms step_avg:29.21ms
step:220/1480 train_time:6430ms step_avg:29.23ms
step:221/1480 train_time:6455ms step_avg:29.21ms
step:222/1480 train_time:6488ms step_avg:29.23ms
step:223/1480 train_time:6514ms step_avg:29.21ms
step:224/1480 train_time:6546ms step_avg:29.22ms
step:225/1480 train_time:6571ms step_avg:29.21ms
step:226/1480 train_time:6604ms step_avg:29.22ms
step:227/1480 train_time:6630ms step_avg:29.21ms
step:228/1480 train_time:6662ms step_avg:29.22ms
step:229/1480 train_time:6688ms step_avg:29.20ms
step:230/1480 train_time:6720ms step_avg:29.22ms
step:231/1480 train_time:6745ms step_avg:29.20ms
step:232/1480 train_time:6778ms step_avg:29.22ms
step:233/1480 train_time:6804ms step_avg:29.20ms
step:234/1480 train_time:6837ms step_avg:29.22ms
step:235/1480 train_time:6862ms step_avg:29.20ms
step:236/1480 train_time:6895ms step_avg:29.21ms
step:237/1480 train_time:6920ms step_avg:29.20ms
step:238/1480 train_time:6954ms step_avg:29.22ms
step:239/1480 train_time:6979ms step_avg:29.20ms
step:240/1480 train_time:7012ms step_avg:29.22ms
step:241/1480 train_time:7037ms step_avg:29.20ms
step:242/1480 train_time:7070ms step_avg:29.22ms
step:243/1480 train_time:7096ms step_avg:29.20ms
step:244/1480 train_time:7129ms step_avg:29.22ms
step:245/1480 train_time:7155ms step_avg:29.20ms
step:246/1480 train_time:7188ms step_avg:29.22ms
step:247/1480 train_time:7213ms step_avg:29.20ms
step:248/1480 train_time:7246ms step_avg:29.22ms
step:249/1480 train_time:7272ms step_avg:29.20ms
step:250/1480 train_time:7305ms step_avg:29.22ms
step:250/1480 val_loss:4.4929 train_time:7339ms step_avg:29.36ms
step:251/1480 train_time:7358ms step_avg:29.31ms
step:252/1480 train_time:7376ms step_avg:29.27ms
step:253/1480 train_time:7391ms step_avg:29.21ms
step:254/1480 train_time:7424ms step_avg:29.23ms
step:255/1480 train_time:7449ms step_avg:29.21ms
step:256/1480 train_time:7483ms step_avg:29.23ms
step:257/1480 train_time:7509ms step_avg:29.22ms
step:258/1480 train_time:7542ms step_avg:29.23ms
step:259/1480 train_time:7567ms step_avg:29.22ms
step:260/1480 train_time:7600ms step_avg:29.23ms
step:261/1480 train_time:7625ms step_avg:29.22ms
step:262/1480 train_time:7658ms step_avg:29.23ms
step:263/1480 train_time:7683ms step_avg:29.21ms
step:264/1480 train_time:7716ms step_avg:29.23ms
step:265/1480 train_time:7741ms step_avg:29.21ms
step:266/1480 train_time:7773ms step_avg:29.22ms
step:267/1480 train_time:7798ms step_avg:29.21ms
step:268/1480 train_time:7830ms step_avg:29.22ms
step:269/1480 train_time:7856ms step_avg:29.20ms
step:270/1480 train_time:7888ms step_avg:29.22ms
step:271/1480 train_time:7914ms step_avg:29.20ms
step:272/1480 train_time:7947ms step_avg:29.22ms
step:273/1480 train_time:7972ms step_avg:29.20ms
step:274/1480 train_time:8005ms step_avg:29.22ms
step:275/1480 train_time:8030ms step_avg:29.20ms
step:276/1480 train_time:8063ms step_avg:29.21ms
step:277/1480 train_time:8088ms step_avg:29.20ms
step:278/1480 train_time:8121ms step_avg:29.21ms
step:279/1480 train_time:8146ms step_avg:29.20ms
step:280/1480 train_time:8179ms step_avg:29.21ms
step:281/1480 train_time:8205ms step_avg:29.20ms
step:282/1480 train_time:8239ms step_avg:29.21ms
step:283/1480 train_time:8265ms step_avg:29.21ms
step:284/1480 train_time:8300ms step_avg:29.23ms
step:285/1480 train_time:8326ms step_avg:29.21ms
step:286/1480 train_time:8360ms step_avg:29.23ms
step:287/1480 train_time:8386ms step_avg:29.22ms
step:288/1480 train_time:8419ms step_avg:29.23ms
step:289/1480 train_time:8445ms step_avg:29.22ms
step:290/1480 train_time:8478ms step_avg:29.24ms
step:291/1480 train_time:8504ms step_avg:29.22ms
step:292/1480 train_time:8537ms step_avg:29.24ms
step:293/1480 train_time:8563ms step_avg:29.23ms
step:294/1480 train_time:8596ms step_avg:29.24ms
step:295/1480 train_time:8621ms step_avg:29.22ms
step:296/1480 train_time:8653ms step_avg:29.23ms
step:297/1480 train_time:8679ms step_avg:29.22ms
step:298/1480 train_time:8712ms step_avg:29.23ms
step:299/1480 train_time:8737ms step_avg:29.22ms
step:300/1480 train_time:8770ms step_avg:29.23ms
step:301/1480 train_time:8795ms step_avg:29.22ms
step:302/1480 train_time:8828ms step_avg:29.23ms
step:303/1480 train_time:8853ms step_avg:29.22ms
step:304/1480 train_time:8886ms step_avg:29.23ms
step:305/1480 train_time:8912ms step_avg:29.22ms
step:306/1480 train_time:8944ms step_avg:29.23ms
step:307/1480 train_time:8970ms step_avg:29.22ms
step:308/1480 train_time:9004ms step_avg:29.23ms
step:309/1480 train_time:9028ms step_avg:29.22ms
step:310/1480 train_time:9061ms step_avg:29.23ms
step:311/1480 train_time:9086ms step_avg:29.22ms
step:312/1480 train_time:9119ms step_avg:29.23ms
step:313/1480 train_time:9144ms step_avg:29.22ms
step:314/1480 train_time:9178ms step_avg:29.23ms
step:315/1480 train_time:9205ms step_avg:29.22ms
step:316/1480 train_time:9237ms step_avg:29.23ms
step:317/1480 train_time:9263ms step_avg:29.22ms
step:318/1480 train_time:9297ms step_avg:29.23ms
step:319/1480 train_time:9323ms step_avg:29.22ms
step:320/1480 train_time:9356ms step_avg:29.24ms
step:321/1480 train_time:9382ms step_avg:29.23ms
step:322/1480 train_time:9415ms step_avg:29.24ms
step:323/1480 train_time:9441ms step_avg:29.23ms
step:324/1480 train_time:9473ms step_avg:29.24ms
step:325/1480 train_time:9499ms step_avg:29.23ms
step:326/1480 train_time:9532ms step_avg:29.24ms
step:327/1480 train_time:9558ms step_avg:29.23ms
step:328/1480 train_time:9590ms step_avg:29.24ms
step:329/1480 train_time:9615ms step_avg:29.23ms
step:330/1480 train_time:9648ms step_avg:29.24ms
step:331/1480 train_time:9674ms step_avg:29.23ms
step:332/1480 train_time:9707ms step_avg:29.24ms
step:333/1480 train_time:9732ms step_avg:29.23ms
step:334/1480 train_time:9765ms step_avg:29.24ms
step:335/1480 train_time:9790ms step_avg:29.22ms
step:336/1480 train_time:9824ms step_avg:29.24ms
step:337/1480 train_time:9848ms step_avg:29.22ms
step:338/1480 train_time:9881ms step_avg:29.23ms
step:339/1480 train_time:9907ms step_avg:29.22ms
step:340/1480 train_time:9940ms step_avg:29.23ms
step:341/1480 train_time:9965ms step_avg:29.22ms
step:342/1480 train_time:9998ms step_avg:29.23ms
step:343/1480 train_time:10024ms step_avg:29.22ms
step:344/1480 train_time:10056ms step_avg:29.23ms
step:345/1480 train_time:10082ms step_avg:29.22ms
step:346/1480 train_time:10114ms step_avg:29.23ms
step:347/1480 train_time:10140ms step_avg:29.22ms
step:348/1480 train_time:10172ms step_avg:29.23ms
step:349/1480 train_time:10198ms step_avg:29.22ms
step:350/1480 train_time:10231ms step_avg:29.23ms
step:351/1480 train_time:10257ms step_avg:29.22ms
step:352/1480 train_time:10290ms step_avg:29.23ms
step:353/1480 train_time:10316ms step_avg:29.22ms
step:354/1480 train_time:10349ms step_avg:29.23ms
step:355/1480 train_time:10374ms step_avg:29.22ms
step:356/1480 train_time:10408ms step_avg:29.24ms
step:357/1480 train_time:10434ms step_avg:29.23ms
step:358/1480 train_time:10467ms step_avg:29.24ms
step:359/1480 train_time:10492ms step_avg:29.23ms
step:360/1480 train_time:10525ms step_avg:29.24ms
step:361/1480 train_time:10550ms step_avg:29.22ms
step:362/1480 train_time:10583ms step_avg:29.24ms
step:363/1480 train_time:10609ms step_avg:29.23ms
step:364/1480 train_time:10642ms step_avg:29.24ms
step:365/1480 train_time:10668ms step_avg:29.23ms
step:366/1480 train_time:10701ms step_avg:29.24ms
step:367/1480 train_time:10727ms step_avg:29.23ms
step:368/1480 train_time:10760ms step_avg:29.24ms
step:369/1480 train_time:10785ms step_avg:29.23ms
step:370/1480 train_time:10818ms step_avg:29.24ms
step:371/1480 train_time:10843ms step_avg:29.23ms
step:372/1480 train_time:10876ms step_avg:29.24ms
step:373/1480 train_time:10901ms step_avg:29.23ms
step:374/1480 train_time:10934ms step_avg:29.23ms
step:375/1480 train_time:10959ms step_avg:29.22ms
step:376/1480 train_time:10992ms step_avg:29.23ms
step:377/1480 train_time:11017ms step_avg:29.22ms
step:378/1480 train_time:11050ms step_avg:29.23ms
step:379/1480 train_time:11076ms step_avg:29.22ms
step:380/1480 train_time:11109ms step_avg:29.23ms
step:381/1480 train_time:11134ms step_avg:29.22ms
step:382/1480 train_time:11167ms step_avg:29.23ms
step:383/1480 train_time:11192ms step_avg:29.22ms
step:384/1480 train_time:11226ms step_avg:29.23ms
step:385/1480 train_time:11251ms step_avg:29.22ms
step:386/1480 train_time:11284ms step_avg:29.23ms
step:387/1480 train_time:11310ms step_avg:29.22ms
step:388/1480 train_time:11343ms step_avg:29.23ms
step:389/1480 train_time:11368ms step_avg:29.22ms
step:390/1480 train_time:11402ms step_avg:29.24ms
step:391/1480 train_time:11427ms step_avg:29.22ms
step:392/1480 train_time:11460ms step_avg:29.23ms
step:393/1480 train_time:11485ms step_avg:29.22ms
step:394/1480 train_time:11519ms step_avg:29.24ms
step:395/1480 train_time:11544ms step_avg:29.23ms
step:396/1480 train_time:11577ms step_avg:29.23ms
step:397/1480 train_time:11603ms step_avg:29.23ms
step:398/1480 train_time:11636ms step_avg:29.24ms
step:399/1480 train_time:11662ms step_avg:29.23ms
step:400/1480 train_time:11695ms step_avg:29.24ms
step:401/1480 train_time:11721ms step_avg:29.23ms
step:402/1480 train_time:11753ms step_avg:29.24ms
step:403/1480 train_time:11778ms step_avg:29.23ms
step:404/1480 train_time:11811ms step_avg:29.24ms
step:405/1480 train_time:11837ms step_avg:29.23ms
step:406/1480 train_time:11869ms step_avg:29.24ms
step:407/1480 train_time:11895ms step_avg:29.23ms
step:408/1480 train_time:11928ms step_avg:29.23ms
step:409/1480 train_time:11953ms step_avg:29.22ms
step:410/1480 train_time:11986ms step_avg:29.23ms
step:411/1480 train_time:12011ms step_avg:29.22ms
step:412/1480 train_time:12044ms step_avg:29.23ms
step:413/1480 train_time:12069ms step_avg:29.22ms
